name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
infinitered/gluegun,189,1,445,1,1,0,0
infinitered/ignite,48,16,160,31,0,0,1
infinitered/nsfwjs,7,1,8,1,1,0,0
inlet/react-pixi,165,10,360,11,1,0,0
instea/react-native-popup-menu,103,1,203,1,1,0,0
integrations/slack,436,224,650,282,0,0,1
interactivethings/catalog,105,14,129,14,1,0,0
invertase/react-native-firebase,176,17,229,17,1,0,0
iodide-project/iodide,337,1,528,1,1,0,0
iterative/cml,104,20,149,20,0,1,0
jacklam718/react-native-modals,8,8,24,24,1,0,0
jaedb/iris,37,5,55,5,1,0,0
jamiebuilds/react-loadable,14,14,30,30,1,0,0
jaredpalmer/razzle,129,2,197,2,1,0,0
jbetancur/react-data-table-component,229,114,294,114,1,0,0
jedwatson/react-select,98,5,143,5,1,0,0
jeffijoe/awilix,148,7,313,9,1,0,0
jeffijoe/typesync,31,1,54,1,0,1,0
jest-community/eslint-plugin-jest,17,1,28,1,1,0,0
jest-community/jest-extended,436,22,698,22,1,0,0
jest-community/vscode-jest,581,5,1567,7,0,1,0
jestjs/jest,4164,556,7518,682,0,0,1
jhen0409/react-native-debugger,20,5,37,13,1,0,0
jiayihu/pretty-algorithms,55,4,78,4,1,0,0
jlalmes/trpc-openapi,102,32,475,57,0,1,0
jlfwong/speedscope,180,2,167,4,1,0,0
jmcdo29/testing-nestjs,205,2,265,2,0,1,0
johnagan/clean-webpack-plugin,43,1,136,1,0,1,0
jondot/hygen,37,14,60,14,1,0,0
jondot/react-flight,1,1,3,1,1,0,0
jquense/yup,233,1,524,1,0,1,0
jsdf/react-native-htmlview,15,15,15,15,1,0,0
jsonhero-io/jsonhero-web,14,10,33,11,0,1,0
jsonresume/resume-cli,18,11,18,11,0,1,0
jsxstyle/jsxstyle,100,59,191,88,0,0,1
juliomrqz/statusfy,25,8,61,11,1,0,0
junedomingo/react-native-rename,5,4,4,4,1,0,0
jupyterlab/jupyterlab-git,130,1,228,1,1,0,0
jxnblk/mdx-deck,26,9,29,9,1,0,0
kactus-io/kactus,705,4,1678,4,0,1,0
kaimallea/ismobile,210,2,210,2,0,1,0
kaorun343/vue-property-decorator,63,2,81,2,0,1,0
katex/katex,743,118,873,121,0,0,1
keajs/kea,154,1,816,1,1,0,0
kefranabg/readme-md-generator,104,2,148,2,1,0,0
kentcdodds/bookshelf,24,3,69,3,0,1,0
kentcdodds/testing-workshop,134,22,324,26,1,0,0
keystonejs/keystone,924,190,1753,210,0,0,1
kidjp85/react-id-swiper,40,24,51,24,1,0,0
kiwicom/orbit,416,54,999,63,0,0,1
kolodny/immutability-helper,82,2,128,2,1,0,0
kong/httpsnippet,35,1,79,1,1,0,0
kriasoft/graphql-starter,6,3,11,3,1,0,0
kriasoft/nodejs-api-starter,7,4,12,4,1,0,0
krisk/fuse,113,15,177,15,1,0,0
kulshekhar/ts-jest,240,45,501,52,0,0,1
kyleamathews/typography.js,25,10,43,10,1,0,0
leandrowd/react-responsive-carousel,117,17,185,17,1,0,0
lensapp/lens,2406,410,2783,410,1,0,0
lingui/js-lingui,372,87,606,98,0,0,1
llk/scratch-gui,369,5,678,5,1,0,0
ln-zap/zap-desktop,484,290,518,290,1,0,0
lostpebble/pullstate,10,4,11,4,1,0,0
louisbarranqueiro/reapop,41,26,85,49,1,0,0
lydell/eslint-plugin-simple-import-sort,1,1,2,1,1,0,0
magento/pwa-studio,3167,1087,4652,1146,0,0,1
manosim/gitify,124,19,228,31,1,0,0
mapsplugin/cordova-plugin-googlemaps,46,7,54,8,1,0,0
markdalgleish/static-site-generator-webpack-plugin,2,1,2,1,1,0,0
markusenglund/react-switch,14,5,17,5,1,0,0
maronato/vue-toastification,201,43,457,45,1,0,0
marp-team/marp-cli,351,7,895,9,0,1,0
marp-team/marp-vscode,164,13,459,13,0,1,0
mateodelnorte/meta,19,18,20,18,1,0,0
maticzav/graphql-shield,60,1,117,1,1,0,0
mattallty/caporal.js,204,13,346,13,1,0,0
mattermost/mattermost-mobile,594,62,1537,63,1,0,0
mattermost/mattermost-webapp,7679,1553,10740,1620,0,0,1
matvp91/indigo-player,21,1,43,1,1,0,0
maxchehab/phelia,105,99,110,99,1,0,0
mbraak/jqtree,441,3,520,3,1,0,0
mengxiong10/vue2-datepicker,66,12,142,12,1,0,0
messageformat/messageformat,367,12,552,12,1,0,0
metamask/metamask-extension,2502,35,3567,47,1,0,0
metamask/metamask-mobile,561,197,704,209,1,0,0
michallytek/type-graphql,456,31,1175,32,0,1,0
michelebertoli/react-automata,26,1,37,1,1,0,0
michmich/magicmirror,203,9,234,9,1,0,0
microsoft/botframework-emulator,1412,10,3090,10,0,1,0
microsoft/botframework-webchat,1032,88,882,96,0,1,0
mikro-orm/mikro-orm,1431,109,7628,226,1,0,0
millihq/terraform-aws-next-js,172,3,427,3,1,0,0
mlaursen/react-md,1004,238,5436,678,0,0,1
mobxjs/mobx-react-lite,95,5,289,6,0,0,1
mobxjs/mobx-react,106,6,215,7,0,0,1
mobxjs/mobx-utils,96,4,602,5,0,0,1
modern-js-dev/garfish,203,8,624,12,1,0,0
modern-js-dev/modern.js,945,65,1958,71,0,0,1
moment/luxon,980,1,2698,1,0,1,0
mozmorris/react-webcam,2,1,2,1,1,0,0
mrmckeb/typescript-plugin-css-modules,29,14,54,14,1,0,0
mycryptohq/mycrypto,1160,10,1534,10,1,0,0
nachos-ui/nachos-ui,31,31,31,31,1,0,0
nadeesha/ts-prune,15,3,16,3,0,1,0
namespace-ee/react-calendar-timeline,185,16,266,16,1,0,0
necolas/react-native-web,598,163,1103,198,0,0,1
neptunian/react-photo-gallery,10,2,10,2,1,0,0
nestjs/nest-cli,49,2,61,2,1,0,0
netflix/falcor,447,2,750,2,0,1,0
netlify/netlify-cms,1031,93,1443,94,0,0,1
nhn/tui.calendar,417,2,779,2,0,0,1
nhn/tui.editor,804,24,963,24,1,0,0
nitin42/making-a-custom-react-renderer,2,2,2,2,1,0,0
nitin42/react-imgpro,4,3,4,3,1,0,0
nitin42/react-perf-devtool,19,10,19,10,1,0,0
nitin42/redocx,52,52,52,52,1,0,0
nitin42/terminal-in-react,3,2,3,2,1,0,0
